"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"125235502","1898","Culbertson El Sch","3530 Goshen Rd",,"Newtown Square","PA","19073","2418","39.997533","-75.399787","http://www.mnsd.org","K5H-5","POINT (-75.399787 39.997533)"
"223460162","0","Academy of the New Church Girls","2815 Huntington Pk",,"Bryn Athyn","PA","19009","0","40.131396","-75.060933","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.060933 40.131396)"
"108070502","7986","Altoona Area Jr HS","1400 7th Ave",,"Altoona","PA","16602",,"40.510978","-78.398887","https://aajhs.aasdcat.com/","6,7-8","POINT (-78.398887 40.510978)"
"113384307","5156","Lebanon County CTC","833 Metro Drive",,"Lebanon","PA","17042","9159","40.341983","-76.396263","http://www.lcctc.edu","12-Sep","POINT (-76.396263 40.341983)"
"105258303","6144","North East Intrmd El","50 E Division Street",,"North East","PA","16428","1317","42.219083","-79.830122","http://www.nesd1.org","5-Mar","POINT (-79.830122 42.219083)"
"921130543","0","Palmerton Area Library","402 Delaware Ave",,"Palmerton","PA","18071","1995","40.8024601","-75.6073093","http://www.palmertonarealibrary.com/",,"POINT (-75.6073093 40.8024601)"
"915220125","0","Hershey Public Library","701 Cocoa Ave",,"Hershey","PA","17033","1532","40.2765465","-76.6467763","https://www.hersheylibrary.org/",,"POINT (-76.6467763 40.2765465)"
"114063003","794","Cumru El Sch","601 Philadelphia Avenue",,"Shillington","PA","19607",,"40.29900471","-75.9540752","http://www.governormifflinsd.org","PreKF,K5F-4","POINT (-75.9540752 40.29900471)"
"114065503","827","Muhlenberg Jr MS","801 E Bellevue Ave",,"Reading","PA","19605","1701","40.388386","-75.922418","http://www.muhlsdk12.org","9-Jul","POINT (-75.922418 40.388386)"
"113380303","8178","Annville-Cleona MS","500 S White Oak St",,"Annville","PA","17003","2298","40.32269","-76.511114","http://www.acschools.org","8-Jul","POINT (-76.511114 40.32269)"
"123464502","3294","Welsh Valley MS","325 Tower Lane",,"Narberth","PA","19072","1105","40.030111","-75.255181","http://www.lmsd.org","5-6,7-8","POINT (-75.255181 40.030111)"
"210140002","0","Grace Prep","848 Science Park Road",,"State College","PA","16803",,"40.7873","-77.905441","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.905441 40.7873)"
